a52dec 0.8.0-3
aalib 1.4rc5-19
abseil-cpp 20260526.0-2
accountsservice 26.13.3-1
acl 2.3.2-2
ada 3.4.4-1
adwaita-cursors 50.0-1
adwaita-fonts 50.0-1
adwaita-icon-theme 50.0-1
adwaita-icon-theme-legacy 46.2-3
alacritty 0.17.0-1
alembic 1.8.11-2
alsa-card-profiles 1:1.6.6-1
alsa-lib 1.2.16.1-1
alsa-topology-conf 1.2.5.1-4
alsa-ucm-conf 1.2.16.1-1
amd-ucode 20260519-1
antigravity-cli 1.0.8_5963827121094656-1
aom 3.14.1-1
appstream 1.1.2-1
aquamarine 0.12.1-1
archlinux-keyring 20260612-1
argon2 20190702-6
aria2 1.37.0-3
asar 4.2.0-1
asciinema 3.2.1-1
at-spi2-core 2.60.4-1
atkmm 2.28.5-2
attica 6.27.0-1
attr 2.5.2-2
audit 4.1.4-2
autoconf 2.73-1
automake 1.18.1-1
avahi 1:0.9rc4-1
awww 0.12.1-1
ayatana-ido 0.10.4-1
babl 0.1.126-1
baloo 6.27.0-1
baloo-widgets 26.04.2-1
base 3-3
base-devel 1-2
basedpyright 1.39.8-1
bash 5.3.15-1
bat 0.26.1-2
bats 1.13.0-1
bc 1.08.2-1
bind 9.20.23-1
binutils 2.46+r70+g155188ea10a7-1
bison 3.8.2-8
blas 3.12.1-2
blender 17:5.1.2-1
blosc 1.21.6-2
blueman 2.4.6-2
bluez 5.86-6
bluez-libs 5.86-6
bluez-utils 5.86-6
boost 1.91.0-1
boost-libs 1.91.0-1
botan 3.12.0-1
breeze 6.6.5-1
breeze-cursors 6.6.5-1
breeze-icons 6.27.0-1
brightnessctl 0.5.1-3
broadcom-bt-firmware 12.0.1.1105-1
brotli 1.2.0-1
btop 1.4.7-1
bubblewrap 0.11.2-1
bzip2 1.0.8-6
c-ares 1.34.6-1
ca-certificates 20240618-1
ca-certificates-mozilla 3.125-1
ca-certificates-utils 20240618-1
cairo 1.18.4-1
cairomm 1.14.6-1
cairomm-1.16 1.18.1-1
catch2 3.15.0-1
cava 0.10.7-1
cbindgen 0.29.4-1
cblas 3.12.1-2
cef 148.0.8-2
ceres-solver 2.2.0-5
certbot 5.6.0-1
chrpath 0.18-1
cifs-utils 7.5-1
clang 22.1.6-1
clang21 21.1.8-1
cliphist 1:0.7.0-2
clucene 2.3.3.4-17
cmake 4.3.3-1
